Score,Old Position,New Position
100,(19,16),(0,5)
105,(1,2),(1,18)
115,(17,16),(16,14)
95,(7,7),(15,3)
110,(13,0),(17,11)
90,(4,1),(15,9)
95,(8,2),(3,7)
100,(11,14),(14,5)
105,(15,19),(16,2)
105,(17,19),(12,18)
110,(5,18),(14,17)
115,(10,4),(15,16)
120,(7,7),(12,19)
130,(15,8),(11,18)
140,(0,14),(0,1)
120,(6,1),(6,1)
120,(12,12),(16,3)
125,(1,17),(14,3)
105,(8,7),(19,11)
115,(13,5),(8,4)
95,(17,9),(10,9)
95,(12,18),(0,9)
95,(13,8),(18,19)
95,(1,7),(1,7)
95,(18,2),(13,9)
100,(1,14),(1,14)
100,(10,17),(10,6)
80,(1,3),(1,3)
80,(0,8),(0,8)
80,(8,9),(8,9)
80,(0,1),(6,19)
90,(4,8),(0,0)
